season,team,espn_team_id,date,opponent,result,team_score,opp_score,is_win
2026,Kansas,2305,"Sat, Jan 3",UCF,L 81-75,81,75,False
2026,Kansas,2305,"Sat, Jan 10",West Virginia,L 86-75,86,75,False
2026,Kansas,2305,"Tue, Jan 13",Iowa St,W 84-63,84,63,True
2026,Kansas,2305,"Fri, Jan 16",Baylor,W 80-62,80,62,True
2026,Kansas,2305,"Tue, Jan 20",Colorado,W 75-69,75,69,True
2026,Kansas,2305,"Sat, Jan 24",Kansas St,W 86-62,86,62,True
2026,Kansas,2305,"Sat, Jan 31",BYU,W 90-82,90,82,True
2026,Kansas,2305,"Mon, Feb 2",Texas Tech,W 64-61,64,61,True
2026,Kansas,2305,"Sat, Feb 7",Utah,W 71-59,71,59,True
2026,Kansas,2305,"Mon, Feb 9",Arizona,W 82-78,82,78,True
2026,Kansas,2305,"Sat, Feb 14",Iowa St,L 74-56,74,56,False
2026,Kansas,2305,"Wed, Feb 18",Oklahoma St,W 81-69,81,69,True
2026,Kansas,2305,"Sat, Feb 21",Cincinnati,L 84-68,84,68,False
2026,Kansas,2305,"Mon, Feb 23",Houston,W 69-56,69,56,True
2026,Kansas,2305,"Sat, Feb 28",Arizona,L 84-61,84,61,False
2026,Kansas,2305,"Tue, Mar 3",Arizona St,L 70-60,70,60,False
2026,Kansas,2305,"Sat, Mar 7",Kansas St,W 104-85,104,85,True
2026,Kansas,2305,"Thu, Mar 12",TCU,W 78-73,78,73,True
2026,Kansas,2305,"Fri, Mar 13",Houston,L 69-47,69,47,False
2026,Iowa St,66,"Mon, Nov 3",F Dickinson,W 88-50,88,50,True
2026,Iowa St,66,"Thu, Nov 6",Grambling,W 102-62,102,62,True
2026,Iowa St,66,"Mon, Nov 10",Mississippi St,W 96-80,96,80,True
2026,Iowa St,66,"Mon, Nov 17",Stonehill,W 96-57,96,57,True
2026,Iowa St,66,"Mon, Nov 24",St John's,W 83-82,83,82,True
2026,Iowa St,66,"Tue, Nov 25",Creighton,W 78-60,78,60,True
2026,Iowa St,66,"Wed, Nov 26",Syracuse,W 95-64,95,64,True
2026,Iowa St,66,"Wed, Dec 3",Alcorn St,W 132-68,132,68,True
2026,Iowa St,66,"Sat, Dec 6",Purdue,W 81-58,81,58,True
2026,Iowa St,66,"Thu, Dec 11",Iowa,W 66-62,66,62,True
2026,Iowa St,66,"Sun, Dec 14",E Illinois,W 78-53,78,53,True
2026,Iowa St,66,"Sun, Dec 21",Long Beach St,W 91-60,91,60,True
2026,Iowa St,66,"Mon, Dec 29",Houston Chr,W 89-61,89,61,True
2026,Iowa St,66,"Fri, Jan 2",West Virginia,W 80-59,80,59,True
2026,Iowa St,66,"Wed, Jan 7",Baylor,W 70-60,70,60,True
2026,Iowa St,66,"Sat, Jan 10",Oklahoma St,W 83-71,83,71,True
2026,Iowa St,66,"Tue, Jan 13",Kansas,L 84-63,84,63,False
2026,Iowa St,66,"Sat, Jan 17",Cincinnati,L 79-70,79,70,False
2026,Iowa St,66,"Tue, Jan 20",UCF,W 87-57,87,57,True
2026,Iowa St,66,"Sat, Jan 24",Oklahoma St,W 84-71,84,71,True
2026,Iowa St,66,"Thu, Jan 29",Colorado,W 97-67,97,67,True
2026,Iowa St,66,"Sun, Feb 1",Kansas St,W 95-61,95,61,True
2026,Iowa St,66,"Sat, Feb 7",Baylor,W 72-69,72,69,True
2026,Iowa St,66,"Tue, Feb 10",TCU,L 62-55,62,55,False
2026,Iowa St,66,"Sat, Feb 14",Kansas,W 74-56,74,56,True
